,A,B,C,D,E,F,G,H,I,J
0,2.576,3.534,4.169,4.211,0.591,1.007,0.328,4.551,0.863,4.443
1,0.083,0.493,2.81,3.077,2.551,0.922,1.832,0.635,4.215,0.109
2,0.365,2.792,0.874,0.483,2.41,2.573,4.099,2.209,0.172,2.565
3,0.431,1.765,4.32,2.454,2.646,2.844,0.48,1.932,1.564,2.141
4,4.841,1.685,2.488,3.867,1.483,4.094,4.059,0.007,4.998,1.389
5,3.062,4.228,0.287,2.021,0.673,1.79,1.526,3.714,2.555,3.355
6,0.643,4.299,2.096,1.762,2.642,0.114,0.201,1.151,0.211,2.958
7,0.815,4.187,3.658,0.342,1.479,1.79,3.294,1.215,4.635,2.435
8,1.38,0.622,4.588,2.912,4.193,0.811,2.208,1.461,4.999,3.037
9,4.288,4.584,1.815,1.007,3.839,1.938,1.752,4.889,3.618,3.176
10,3.291,0.409,3.216,4.702,2.137,4.628,3.08,0.195,3.982,1.545
11,3.834,1.005,2.214,4.011,0.601,4.199,3.265,4.374,0.566,0.607
12,2.155,0.858,2.726,3.75,0.373,4.375,2.787,4.855,0.352,2.156
13,1.817,1.701,3.481,1.504,4.169,2.703,4.783,4.311,2.424,3.904
14,2.169,2.294,4.626,1.891,3.917,2.213,1.072,0.292,0.889,1.873
15,1.397,1.701,3.558,2.779,3.602,0.013,2.965,3.262,4.03,0.182
16,0.629,0.458,2.102,3.717,3.171,1.607,0.613,4.298,4.744,2.146
17,0.921,3.121,1.249,3.0,3.228,1.696,0.675,1.265,3.204,1.769
18,1.295,3.307,3.111,2.908,3.777,0.684,0.875,0.195,2.994,3.482
19,3.647,0.689,2.791,4.701,3.089,2.215,4.514,3.619,2.211,3.032
20,4.326,2.278,0.284,2.579,3.718,4.687,4.251,4.034,2.746,2.353
21,4.363,1.634,4.503,2.217,0.654,3.541,2.811,3.554,0.178,4.921
22,2.291,1.882,4.43,3.932,2.696,3.8,3.28,1.683,3.993,3.47
23,3.086,1.581,1.386,1.44,0.8,4.857,3.911,4.36,3.749,1.14
24,2.215,0.031,1.416,4.079,2.521,1.257,2.589,2.263,1.207,0.644
